name,slottime_GMT,slottype,slotavg,pointTitle,,,,
Campus.Elec.Demand_MW,2022-01-01 00:00:00,H,19.214357500,Total Campus Electric Demand,,,,
Campus.Elec.Demand_MW,2022-01-01 01:00:00,H,18.705050000,Total Campus Electric Demand,,,1/1/22 1:00 AM,FALSE
Campus.Elec.Demand_MW,2022-01-01 02:00:00,H,18.503427500,Total Campus Electric Demand,,,1/1/22 2:00 AM,
Campus.Elec.Demand_MW,2022-01-01 03:00:00,H,18.022545000,Total Campus Electric Demand,,,1/1/22 3:00 AM,
Campus.Elec.Demand_MW,2022-01-01 04:00:00,H,17.686352500,Total Campus Electric Demand,,,1/1/22 4:00 AM,
Campus.Elec.Demand_MW,2022-01-01 05:00:00,H,17.601665000,Total Campus Electric Demand,,,1/1/22 5:00 AM,
Campus.Elec.Demand_MW,2022-01-01 06:00:00,H,17.455477500,Total Campus Electric Demand,,,1/1/22 6:00 AM,
Campus.Elec.Demand_MW,2022-01-01 07:00:00,H,17.602487500,Total Campus Electric Demand,,,1/1/22 7:00 AM,
Campus.Elec.Demand_MW,2022-01-01 08:00:00,H,17.443580000,Total Campus Electric Demand,,,1/1/22 8:00 AM,
Campus.Elec.Demand_MW,2022-01-01 09:00:00,H,17.546282500,Total Campus Electric Demand,,,1/1/22 9:00 AM,
Campus.Elec.Demand_MW,2022-01-01 10:00:00,H,17.778175000,Total Campus Electric Demand,,,1/1/22 10:00 AM,
Campus.Elec.Demand_MW,2022-01-01 11:00:00,H,18.566917500,Total Campus Electric Demand,,,1/1/22 11:00 AM,
Campus.Elec.Demand_MW,2022-01-01 12:00:00,H,19.042847500,Total Campus Electric Demand,,,1/1/22 12:00 PM,
Campus.Elec.Demand_MW,2022-01-01 13:00:00,H,19.062712500,Total Campus Electric Demand,,,1/1/22 1:00 PM,
Campus.Elec.Demand_MW,2022-01-01 14:00:00,H,19.147637500,Total Campus Electric Demand,,,1/1/22 2:00 PM,
Campus.Elec.Demand_MW,2022-01-01 15:00:00,H,19.188765000,Total Campus Electric Demand,,,1/1/22 3:00 PM,
Campus.Elec.Demand_MW,2022-01-01 16:00:00,H,18.968515000,Total Campus Electric Demand,,,1/1/22 4:00 PM,
Campus.Elec.Demand_MW,2022-01-01 17:00:00,H,19.028647500,Total Campus Electric Demand,,,1/1/22 5:00 PM,
Campus.Elec.Demand_MW,2022-01-01 18:00:00,H,18.996382500,Total Campus Electric Demand,,,1/1/22 6:00 PM,
Campus.Elec.Demand_MW,2022-01-01 19:00:00,H,19.011970000,Total Campus Electric Demand,,,1/1/22 7:00 PM,
Campus.Elec.Demand_MW,2022-01-01 20:00:00,H,18.996942500,Total Campus Electric Demand,,,1/1/22 8:00 PM,
Campus.Elec.Demand_MW,2022-01-01 21:00:00,H,19.213070000,Total Campus Electric Demand,,,1/1/22 9:00 PM,
Campus.Elec.Demand_MW,2022-01-01 22:00:00,H,19.344150000,Total Campus Electric Demand,,,1/1/22 10:00 PM,
Campus.Elec.Demand_MW,2022-01-01 23:00:00,H,19.161245000,Total Campus Electric Demand,,,1/1/22 11:00 PM,
Campus.Elec.Demand_MW,2022-01-02 00:00:00,H,18.963545000,Total Campus Electric Demand,,,1/2/22 12:00 AM,
Campus.Elec.Demand_MW,2022-01-02 01:00:00,H,18.559052500,Total Campus Electric Demand,,,1/2/22 1:00 AM,
Campus.Elec.Demand_MW,2022-01-02 02:00:00,H,18.361570000,Total Campus Electric Demand,,,1/2/22 2:00 AM,
Campus.Elec.Demand_MW,2022-01-02 03:00:00,H,18.098875000,Total Campus Electric Demand,,,1/2/22 3:00 AM,
Campus.Elec.Demand_MW,2022-01-02 04:00:00,H,17.938327500,Total Campus Electric Demand,,,1/2/22 4:00 AM,
Campus.Elec.Demand_MW,2022-01-02 05:00:00,H,17.764347500,Total Campus Electric Demand,,,1/2/22 5:00 AM,
Campus.Elec.Demand_MW,2022-01-02 06:00:00,H,17.669153529,Total Campus Electric Demand,,,1/2/22 6:00 AM,
Campus.Elec.Demand_MW,2022-01-02 07:00:00,H,17.804298000,Total Campus Electric Demand,,,1/2/22 7:00 AM,
Campus.Elec.Demand_MW,2022-01-02 08:00:00,H,17.838080000,Total Campus Electric Demand,,,1/2/22 8:00 AM,
Campus.Elec.Demand_MW,2022-01-02 09:00:00,H,17.986867500,Total Campus Electric Demand,,,1/2/22 9:00 AM,
Campus.Elec.Demand_MW,2022-01-02 10:00:00,H,18.342760000,Total Campus Electric Demand,,,1/2/22 10:00 AM,
Campus.Elec.Demand_MW,2022-01-02 11:00:00,H,18.938595000,Total Campus Electric Demand,,,1/2/22 11:00 AM,
Campus.Elec.Demand_MW,2022-01-02 12:00:00,H,19.513985000,Total Campus Electric Demand,,,1/2/22 12:00 PM,
Campus.Elec.Demand_MW,2022-01-02 13:00:00,H,19.794445000,Total Campus Electric Demand,,,1/2/22 1:00 PM,
Campus.Elec.Demand_MW,2022-01-02 14:00:00,H,19.804195000,Total Campus Electric Demand,,,1/2/22 2:00 PM,
Campus.Elec.Demand_MW,2022-01-02 15:00:00,H,19.704475000,Total Campus Electric Demand,,,1/2/22 3:00 PM,
Campus.Elec.Demand_MW,2022-01-02 16:00:00,H,19.737197500,Total Campus Electric Demand,,,1/2/22 4:00 PM,
Campus.Elec.Demand_MW,2022-01-02 17:00:00,H,19.694642500,Total Campus Electric Demand,,,1/2/22 5:00 PM,
Campus.Elec.Demand_MW,2022-01-02 18:00:00,H,19.823112500,Total Campus Electric Demand,,,1/2/22 6:00 PM,
Campus.Elec.Demand_MW,2022-01-02 19:00:00,H,19.945075000,Total Campus Electric Demand,,,1/2/22 7:00 PM,
Campus.Elec.Demand_MW,2022-01-02 20:00:00,H,20.018010000,Total Campus Electric Demand,,,1/2/22 8:00 PM,
Campus.Elec.Demand_MW,2022-01-02 21:00:00,H,20.143787500,Total Campus Electric Demand,,,1/2/22 9:00 PM,
Campus.Elec.Demand_MW,2022-01-02 22:00:00,H,20.196572500,Total Campus Electric Demand,,,1/2/22 10:00 PM,
Campus.Elec.Demand_MW,2022-01-02 23:00:00,H,19.858745000,Total Campus Electric Demand,,,1/2/22 11:00 PM,
Campus.Elec.Demand_MW,2022-01-03 00:00:00,H,19.516567500,Total Campus Electric Demand,,,1/3/22 12:00 AM,
Campus.Elec.Demand_MW,2022-01-03 01:00:00,H,19.258435000,Total Campus Electric Demand,,,1/3/22 1:00 AM,
