# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 42.437, -76.548 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/New_York, electricity in kW,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""42.437417499999995"""," ""lon"": ""-76.54837235139263"""," ""date_from"": ""2022-01-01"""," ""date_to"": ""2022-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,,,
1/1/2022 0:00,12/31/2021 19:00,0,,,,,,,,,,,,,
1/1/2022 1:00,12/31/2021 20:00,0,,,,,,,,,,,,,
1/1/2022 2:00,12/31/2021 21:00,0,,,,,,,,,,,,,
1/1/2022 3:00,12/31/2021 22:00,0,,,,,,,,,,,,,
1/1/2022 4:00,12/31/2021 23:00,0,,,,,,,,,,,,,
1/1/2022 5:00,1/1/2022 0:00,0,,,,,,,,,,,,,
1/1/2022 6:00,1/1/2022 1:00,0,,,,,,,,,,,,,
1/1/2022 7:00,1/1/2022 2:00,0,,,,,,,,,,,,,
1/1/2022 8:00,1/1/2022 3:00,0,,,,,,,,,,,,,
1/1/2022 9:00,1/1/2022 4:00,0,,,,,,,,,,,,,
1/1/2022 10:00,1/1/2022 5:00,0,,,,,,,,,,,,,
1/1/2022 11:00,1/1/2022 6:00,0,,,,,,,,,,,,,
1/1/2022 12:00,1/1/2022 7:00,0,,,,,,,,,,,,,
1/1/2022 13:00,1/1/2022 8:00,0.011,,,,,,,,,,,,,
1/1/2022 14:00,1/1/2022 9:00,0.025,,,,,,,,,,,,,
1/1/2022 15:00,1/1/2022 10:00,0.048,,,,,,,,,,,,,
1/1/2022 16:00,1/1/2022 11:00,0.06,,,,,,,,,,,,,
1/1/2022 17:00,1/1/2022 12:00,0.054,,,,,,,,,,,,,
1/1/2022 18:00,1/1/2022 13:00,0.044,,,,,,,,,,,,,
1/1/2022 19:00,1/1/2022 14:00,0.025,,,,,,,,,,,,,
1/1/2022 20:00,1/1/2022 15:00,0.007,,,,,,,,,,,,,
1/1/2022 21:00,1/1/2022 16:00,0,,,,,,,,,,,,,
1/1/2022 22:00,1/1/2022 17:00,0,,,,,,,,,,,,,
1/1/2022 23:00,1/1/2022 18:00,0,,,,,,,,,,,,,
1/2/2022 0:00,1/1/2022 19:00,0,,,,,,,,,,,,,
1/2/2022 1:00,1/1/2022 20:00,0,,,,,,,,,,,,,
1/2/2022 2:00,1/1/2022 21:00,0,,,,,,,,,,,,,
1/2/2022 3:00,1/1/2022 22:00,0,,,,,,,,,,,,,
1/2/2022 4:00,1/1/2022 23:00,0,,,,,,,,,,,,,
1/2/2022 5:00,1/2/2022 0:00,0,,,,,,,,,,,,,
1/2/2022 6:00,1/2/2022 1:00,0,,,,,,,,,,,,,
1/2/2022 7:00,1/2/2022 2:00,0,,,,,,,,,,,,,
1/2/2022 8:00,1/2/2022 3:00,0,,,,,,,,,,,,,
1/2/2022 9:00,1/2/2022 4:00,0,,,,,,,,,,,,,
1/2/2022 10:00,1/2/2022 5:00,0,,,,,,,,,,,,,
1/2/2022 11:00,1/2/2022 6:00,0,,,,,,,,,,,,,
1/2/2022 12:00,1/2/2022 7:00,0,,,,,,,,,,,,,
1/2/2022 13:00,1/2/2022 8:00,0.006,,,,,,,,,,,,,
1/2/2022 14:00,1/2/2022 9:00,0.022,,,,,,,,,,,,,
1/2/2022 15:00,1/2/2022 10:00,0.059,,,,,,,,,,,,,
1/2/2022 16:00,1/2/2022 11:00,0.125,,,,,,,,,,,,,
1/2/2022 17:00,1/2/2022 12:00,0.187,,,,,,,,,,,,,
1/2/2022 18:00,1/2/2022 13:00,0.175,,,,,,,,,,,,,
1/2/2022 19:00,1/2/2022 14:00,0.109,,,,,,,,,,,,,
1/2/2022 20:00,1/2/2022 15:00,0.045,,,,,,,,,,,,,
1/2/2022 21:00,1/2/2022 16:00,0.001,,,,,,,,,,,,,
1/2/2022 22:00,1/2/2022 17:00,0,,,,,,,,,,,,,
1/2/2022 23:00,1/2/2022 18:00,0,,,,,,,,,,,,,
1/3/2022 0:00,1/2/2022 19:00,0,,,,,,,,,,,,,
1/3/2022 1:00,1/2/2022 20:00,0,,,,,,,,,,,,,
1/3/2022 2:00,1/2/2022 21:00,0,,,,,,,,,,,,,
1/3/2022 3:00,1/2/2022 22:00,0,,,,,,,,,,,,,
1/3/2022 4:00,1/2/2022 23:00,0,,,,,,,,,,,,,
1/3/2022 5:00,1/3/2022 0:00,0,,,,,,,,,,,,,
1/3/2022 6:00,1/3/2022 1:00,0,,,,,,,,,,,,,
1/3/2022 7:00,1/3/2022 2:00,0,,,,,,,,,,,,,
1/3/2022 8:00,1/3/2022 3:00,0,,,,,,,,,,,,,
1/3/2022 9:00,1/3/2022 4:00,0,,,,,,,,,,,,,
1/3/2022 10:00,1/3/2022 5:00,0,,,,,,,,,,,,,
1/3/2022 11:00,1/3/2022 6:00,0,,,,,,,,,,,,,
1/3/2022 12:00,1/3/2022 7:00,0,,,,,,,,,,,,,
1/3/2022 13:00,1/3/2022 8:00,0.017,,,,,,,,,,,,,
1/3/2022 14:00,1/3/2022 9:00,0.06,,,,,,,,,,,,,
1/3/2022 15:00,1/3/2022 10:00,0.079,,,,,,,,,,,,,
1/3/2022 16:00,1/3/2022 11:00,0.121,,,,,,,,,,,,,
1/3/2022 17:00,1/3/2022 12:00,0.154,,,,,,,,,,,,,
1/3/2022 18:00,1/3/2022 13:00,0.15,,,,,,,,,,,,,
1/3/2022 19:00,1/3/2022 14:00,0.146,,,,,,,,,,,,,
1/3/2022 20:00,1/3/2022 15:00,0.124,,,,,,,,,,,,,
1/3/2022 21:00,1/3/2022 16:00,0.014,,,,,,,,,,,,,
1/3/2022 22:00,1/3/2022 17:00,0,,,,,,,,,,,,,
1/3/2022 23:00,1/3/2022 18:00,0,,,,,,,,,,,,,
1/4/2022 0:00,1/3/2022 19:00,0,,,,,,,,,,,,,
1/4/2022 1:00,1/3/2022 20:00,0,,,,,,,,,,,,,
1/4/2022 2:00,1/3/2022 21:00,0,,,,,,,,,,,,,
1/4/2022 3:00,1/3/2022 22:00,0,,,,,,,,,,,,,
1/4/2022 4:00,1/3/2022 23:00,0,,,,,,,,,,,,,
1/4/2022 5:00,1/4/2022 0:00,0,,,,,,,,,,,,,
1/4/2022 6:00,1/4/2022 1:00,0,,,,,,,,,,,,,
1/4/2022 7:00,1/4/2022 2:00,0,,,,,,,,,,,,,
1/4/2022 8:00,1/4/2022 3:00,0,,,,,,,,,,,,,
1/4/2022 9:00,1/4/2022 4:00,0,,,,,,,,,,,,,
1/4/2022 10:00,1/4/2022 5:00,0,,,,,,,,,,,,,
1/4/2022 11:00,1/4/2022 6:00,0,,,,,,,,,,,,,
1/4/2022 12:00,1/4/2022 7:00,0.003,,,,,,,,,,,,,
1/4/2022 13:00,1/4/2022 8:00,0.253,,,,,,,,,,,,,
1/4/2022 14:00,1/4/2022 9:00,0.528,,,,,,,,,,,,,
1/4/2022 15:00,1/4/2022 10:00,0.679,,,,,,,,,,,,,
1/4/2022 16:00,1/4/2022 11:00,0.745,,,,,,,,,,,,,
1/4/2022 17:00,1/4/2022 12:00,0.743,,,,,,,,,,,,,
1/4/2022 18:00,1/4/2022 13:00,0.676,,,,,,,,,,,,,
1/4/2022 19:00,1/4/2022 14:00,0.536,,,,,,,,,,,,,
1/4/2022 20:00,1/4/2022 15:00,0.309,,,,,,,,,,,,,
1/4/2022 21:00,1/4/2022 16:00,0.036,,,,,,,,,,,,,
1/4/2022 22:00,1/4/2022 17:00,0,,,,,,,,,,,,,
1/4/2022 23:00,1/4/2022 18:00,0,,,,,,,,,,,,,
1/5/2022 0:00,1/4/2022 19:00,0,,,,,,,,,,,,,
1/5/2022 1:00,1/4/2022 20:00,0,,,,,,,,,,,,,
1/5/2022 2:00,1/4/2022 21:00,0,,,,,,,,,,,,,
1/5/2022 3:00,1/4/2022 22:00,0,,,,,,,,,,,,,
1/5/2022 4:00,1/4/2022 23:00,0,,,,,,,,,,,,,
1/5/2022 5:00,1/5/2022 0:00,0,,,,,,,,,,,,,
1/5/2022 6:00,1/5/2022 1:00,0,,,,,,,,,,,,,
1/5/2022 7:00,1/5/2022 2:00,0,,,,,,,,,,,,,
1/5/2022 8:00,1/5/2022 3:00,0,,,,,,,,,,,,,
1/5/2022 9:00,1/5/2022 4:00,0,,,,,,,,,,,,,
1/5/2022 10:00,1/5/2022 5:00,0,,,,,,,,,,,,,
1/5/2022 11:00,1/5/2022 6:00,0,,,,,,,,,,,,,
1/5/2022 12:00,1/5/2022 7:00,0,,,,,,,,,,,,,
1/5/2022 13:00,1/5/2022 8:00,0.042,,,,,,,,,,,,,
1/5/2022 14:00,1/5/2022 9:00,0.108,,,,,,,,,,,,,
1/5/2022 15:00,1/5/2022 10:00,0.173,,,,,,,,,,,,,
1/5/2022 16:00,1/5/2022 11:00,0.206,,,,,,,,,,,,,
1/5/2022 17:00,1/5/2022 12:00,0.255,,,,,,,,,,,,,
1/5/2022 18:00,1/5/2022 13:00,0.338,,,,,,,,,,,,,
1/5/2022 19:00,1/5/2022 14:00,0.274,,,,,,,,,,,,,
1/5/2022 20:00,1/5/2022 15:00,0.106,,,,,,,,,,,,,
1/5/2022 21:00,1/5/2022 16:00,0.006,,,,,,,,,,,,,
1/5/2022 22:00,1/5/2022 17:00,0,,,,,,,,,,,,,
1/5/2022 23:00,1/5/2022 18:00,0,,,,,,,,,,,,,
1/6/2022 0:00,1/5/2022 19:00,0,,,,,,,,,,,,,
1/6/2022 1:00,1/5/2022 20:00,0,,,,,,,,,,,,,
1/6/2022 2:00,1/5/2022 21:00,0,,,,,,,,,,,,,
1/6/2022 3:00,1/5/2022 22:00,0,,,,,,,,,,,,,
1/6/2022 4:00,1/5/2022 23:00,0,,,,,,,,,,,,,
1/6/2022 5:00,1/6/2022 0:00,0,,,,,,,,,,,,,
1/6/2022 6:00,1/6/2022 1:00,0,,,,,,,,,,,,,
1/6/2022 7:00,1/6/2022 2:00,0,,,,,,,,,,,,,
1/6/2022 8:00,1/6/2022 3:00,0,,,,,,,,,,,,,
1/6/2022 9:00,1/6/2022 4:00,0,,,,,,,,,,,,,
1/6/2022 10:00,1/6/2022 5:00,0,,,,,,,,,,,,,
1/6/2022 11:00,1/6/2022 6:00,0,,,,,,,,,,,,,
1/6/2022 12:00,1/6/2022 7:00,0,,,,,,,,,,,,,
1/6/2022 13:00,1/6/2022 8:00,0.063,,,,,,,,,,,,,
1/6/2022 14:00,1/6/2022 9:00,0.159,,,,,,,,,,,,,
1/6/2022 15:00,1/6/2022 10:00,0.268,,,,,,,,,,,,,
1/6/2022 16:00,1/6/2022 11:00,0.318,,,,,,,,,,,,,
1/6/2022 17:00,1/6/2022 12:00,0.277,,,,,,,,,,,,,
1/6/2022 18:00,1/6/2022 13:00,0.216,,,,,,,,,,,,,
1/6/2022 19:00,1/6/2022 14:00,0.174,,,,,,,,,,,,,
1/6/2022 20:00,1/6/2022 15:00,0.028,,,,,,,,,,,,,
1/6/2022 21:00,1/6/2022 16:00,0,,,,,,,,,,,,,
1/6/2022 22:00,1/6/2022 17:00,0,,,,,,,,,,,,,
1/6/2022 23:00,1/6/2022 18:00,0,,,,,,,,,,,,,
1/7/2022 0:00,1/6/2022 19:00,0,,,,,,,,,,,,,
1/7/2022 1:00,1/6/2022 20:00,0,,,,,,,,,,,,,
1/7/2022 2:00,1/6/2022 21:00,0,,,,,,,,,,,,,
1/7/2022 3:00,1/6/2022 22:00,0,,,,,,,,,,,,,
1/7/2022 4:00,1/6/2022 23:00,0,,,,,,,,,,,,,
1/7/2022 5:00,1/7/2022 0:00,0,,,,,,,,,,,,,
1/7/2022 6:00,1/7/2022 1:00,0,,,,,,,,,,,,,
1/7/2022 7:00,1/7/2022 2:00,0,,,,,,,,,,,,,
1/7/2022 8:00,1/7/2022 3:00,0,,,,,,,,,,,,,
1/7/2022 9:00,1/7/2022 4:00,0,,,,,,,,,,,,,
1/7/2022 10:00,1/7/2022 5:00,0,,,,,,,,,,,,,
1/7/2022 11:00,1/7/2022 6:00,0,,,,,,,,,,,,,
1/7/2022 12:00,1/7/2022 7:00,0,,,,,,,,,,,,,
1/7/2022 13:00,1/7/2022 8:00,0.044,,,,,,,,,,,,,
1/7/2022 14:00,1/7/2022 9:00,0.131,,,,,,,,,,,,,
1/7/2022 15:00,1/7/2022 10:00,0.196,,,,,,,,,,,,,
1/7/2022 16:00,1/7/2022 11:00,0.233,,,,,,,,,,,,,
1/7/2022 17:00,1/7/2022 12:00,0.244,,,,,,,,,,,,,
1/7/2022 18:00,1/7/2022 13:00,0.207,,,,,,,,,,,,,
1/7/2022 19:00,1/7/2022 14:00,0.157,,,,,,,,,,,,,
1/7/2022 20:00,1/7/2022 15:00,0.077,,,,,,,,,,,,,
1/7/2022 21:00,1/7/2022 16:00,0.002,,,,,,,,,,,,,
1/7/2022 22:00,1/7/2022 17:00,0,,,,,,,,,,,,,
1/7/2022 23:00,1/7/2022 18:00,0,,,,,,,,,,,,,
1/8/2022 0:00,1/7/2022 19:00,0,,,,,,,,,,,,,
1/8/2022 1:00,1/7/2022 20:00,0,,,,,,,,,,,,,
1/8/2022 2:00,1/7/2022 21:00,0,,,,,,,,,,,,,
1/8/2022 3:00,1/7/2022 22:00,0,,,,,,,,,,,,,
