name,slottime_GMT,slottype,slotavg,pointTitle
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 00:00:00,H,81068.1475,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 01:00:00,H,79602.8525,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 02:00:00,H,79676.365,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 03:00:00,H,78603.1625,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 04:00:00,H,73999.880000000,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 05:00:00,H,65935.7225,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 06:00:00,H,65959.165,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 07:00:00,H,64876.2175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 08:00:00,H,63354.6625,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 09:00:00,H,66478.9075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 10:00:00,H,67299.2475,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 11:00:00,H,67047.59,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 12:00:00,H,67077.5825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 13:00:00,H,66726.5075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 14:00:00,H,64922.545,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 15:00:00,H,62485.7425,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 16:00:00,H,58434.675,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 17:00:00,H,59156.5375,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 18:00:00,H,58878.6275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 19:00:00,H,57086.0075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 20:00:00,H,54598.01,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 21:00:00,H,59082.205,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 22:00:00,H,70958.2875,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-01 23:00:00,H,75391.69,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-02 00:00:00,H,78183.185,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-02 01:00:00,H,78785.9475,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-02 02:00:00,H,81936.44,Total Steam Export
